Stage	Objection	Solution 1	Solution 2	Solution 3	Solution 4	Solution 5	Solution 6	Solution 7	Solution 8
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)	V čem ste drugačni od drugih	That’s a great question. And an important one.	Most agents simply forward your inquiry to yacht owners and play the role of middleman. At Goolets, we take a completely different approach. We are fully involved in every step of the process, with a hands-on, service-driven mindset that sets us apart.	We personally inspect the yachts we work with, so we know exactly what we’re recommending. We manage our fleet in Croatia, and we have dedicated teams on the ground in Turkey and Greece, ensuring full control over logistics, guest experience, and last-minute needs. We attend all the Yachts shows worldwide, year after year.	We don’t just “book the boat”—we oversee every detail of your trip:	from itinerary planning and food preferences to special events on board and airport transfers. That’s why we consistently maintain a 97% guest satisfaction rate. Each client is assigned a personal concierge whole guides your threw the process.	We also invest heavily in content and transparency:	You'll find hundreds of videos, walk-throughs, guest reviews, guides, and itineraries across our website and social channels. Our goal is to educate and inspire, not just sell. And it’s working: we’re proud to have a very high rate of repeat clients and referrals, which speaks volumes about the trust our guests place in us.	If you're looking for someone who’s just going to email you a few options we’re probably not the right fit.
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)	24/7 bar? Strežba	Seveda. Na večini jaht, ki smo jih predlagali, je strežba praktično ves čas na voljo – posadka je tam za vas, in njihova naloga je, da poskrbijo, da ne boste nikoli čakali na kozarec vina, koktajl ali kavo.	- Če želite, vam lahko tudi posebej poudarimo jahte, kjer imajo ločen barman/hostesso, ki je izključno zadolžen/a za pijačo in strežbo skozi cel dan – tudi pozno zvečer.	- Predlagaš jahte, ki to imajo oziroma se navežeš na partyjanje in poveš da so Freedom, Bella, Cristal in Ohana idealne.					
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)	Aktivnosti, kaj če on umre / ladja zruši / on zboli	- To je eden najpogostejših mitov o čarterju. Večina ljudi se pred prvo plovbo sprašuje isto – kaj bomo pa sploh delali? In potem so na koncu presenečeni, kako jim je teden prehitro minil.	- Na voljo imate vodne športe (SUP, seabob, jet ski...), dnevne izlete na otoke, večerna sidranja v zalivih, pokušine vin, kuharske delavnice, masaže, ali pa samo uživanje v tišini in razgledu. Vaš kapitan in posadka vsak dan prilagajata dan po vaših željah – od adrenalina do popolnega miru.	- Naša pogodba ima klavzulo, ki v primeru višje sile (npr. okvara ladje, nesreča lastnika) ščiti vas kot stranko.	- Goolets vedno poskusša vaš teden prodati in če prodamo, lahko teden prestavite leto vnaprej. Priporočamo tudi, da ob rezervaciji sklenete zavarovanje rizika odpovedi, kar dodatno zaščiti vašo investicijo.				
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)	Firbec	Ne porabiti preveč časa	- Ne izpasti nespoštljiv	- Opcija 1: Postavi vljudno “qualification” vprašanje	- Opcija 2: "Soft closing" s povabilom na naslednji korak: "Če si želite bolj konkretno ponudbo (z razpoložljivostjo in točno ceno), mi samo potrdite termin, število oseb in kakšno jahto si predstavljate. Potem grem naprej z iskanjem."	- "Samo za razumevanje – pri nas ne gre za klasičen booking portal. Gre za zelo oseben proces, kjer iščemo jahto, posadko in izkušnjo, ki najbolj ustreza vaši skupini. Zato si želim razumeti malo več o vas, da lahko pošljem ustrezne možnosti."			
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)	Hrana na dolgi viskovi neumno in seven in tisoca	Če prav razumem, se vam zdi, da je hrana nekoliko dražja? Naj pojasnim, zakaj. Pri nas je kakovost hrane na izjemno visoki ravni – in to ni naključje. Imamo lastno lokalno ekipo (t. i. ground team), ki osebno poskrbi za izbor sestavin, nakupuje pri preverjenih lokalnih ponudnikih in zagotavlja, da je vse na najvišji ravni – od svežine do prezentacije. Imamo popoln nadzor nad kakovostjo, saj vemo, da je gastronomija eden ključnih elementov izkušnje na jahti. Zanimivo je, da se velik delež naših gostov vrača prav zaradi vrhunske kulinarične izkušnje. To ni le hrana – je del potovanja, ki ga gostje dolgo pomnijo.							
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)	Pomankanja znanja prodajalcev	Pomanjkanje znanja se lahko izrazi kot:	prodajalec ne zna razložiti razlike med dvema jahtama (razen »ta je dražja«)	- ne zna argumentirati višje cene	- ne pozna razlik v destinacijah	- ne zna odgovoriti na vprašanja o APA, transferjih, kuharju, dejavnostih itd.	- zveni kot »prepošiljevalec ponudb«, ne pa svetovalec	Poudari strokovnost in zaledje ekipe (če si ti strokovnjak, pa še posebej): Razumem, da vas zanima, kaj dejansko dobite za svoj denar – in točno zato je pomembno, da delate z nekom, ki te ladje pozna tudi od znotraj. Mi ne preprodajamo le ponudb z interneta – mi osebno poznamo kapitana, posadko, jedilnik, celo širino postelje v master kabini. Pomagali bomo tudi pri vseh stvareh, ki jih “klasični prodajalci” ne pokrivajo: transferji, prehrana, rojstnodnevna presenečenja, aktivnosti za otroke… celoten “behind the scenes”. --> Rešitev, če prodajalcem dejansko primanjkuje znanja: Izobraževanja, službene poti na destinacijo, inšpekcija ladij, pregled rut ipd.	
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)	Prejmemo prvo ponudbo	Če si želiš odgovor oziroma tekst za situacijo, ko stranka prejme prvo (proto) ponudbo, potem je to kritična točka, kjer se odločajo, ali bodo nadaljevali v smer rezervacije — ali pa izginili v tišino.	Zato moraš s to komunikacijo: - odpreti pogovor, ne pustiti da ostane “mrtva priponka” - poudariti vrednost, ne samo ceno - vprašati ključne stvari, da vodiš pogajanja	V tem trenutku je ključno, da čim prej rezerviramo vašo idealno jahto, saj najboljše možnosti hitro izginjajo – posebej za vaš termin.	Če mi sporočite vašo favoritko ali dvome, lahko gremo hitro naprej v pogajanja in rezervacijo.				
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)	Premladi brokerji	Razumem, da morda delujem mlajši od povprečja v tej industriji – in iskreno, to mi daje dodatno motivacijo. Pri Goolets delamo timsko, kar pomeni, da imam v ozadju podporo strokovnjakov z več kot 15+ leti izkušenj. Sam osebno sem bil na [X] ladjah, sem v dnevnem stiku z lastniki, posadkami in kapetani – in vsaka ponudba, ki jo pošljem, temelji na preverjenih informacijah iz prve roke. Poleg tega sem stoodstotno predan vsaki stranki  – ker vem, da vsak dober posel pomeni novo priložnost za rast in zaupanje. V tem trenutku sem tukaj izključno za vas.	Če si mlajši imaš več energije, želje po učenju in izboljševanju kar se običajno dobro odraža v prodaji. Pomemben je tudi aspekt časa. Opažam, da če si hiter in strokoven, nikoli nihče ne podvomi v tvojo starost.						
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)	Vse ladje so neke (pomojm si mislil vse ladje so iste)	Ponovno pomemben aspekt znanja prodajalca, poznavanje produkta in osnov prodaje. Vprašaš tudi grupo kaj si oni želijo in jih povežeš z najbolj optimalno jahto. Ampak tukaj pride razlika med “ladjo” in “izkušnjo na ladji”.	Če mi dovolite: vam v minuti razložim razliko med dvema ladjama, ki imata enako ceno in enake dimenzije – ampak povsem drugačno energijo.						
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)	Zakaj ne preko Edmistona	Smo centrali agent, poznamo vse ladje v detajle in govorimo Hrvaško kar olajša komunikacijo s posadkami in kapitan.	Veliko bolje poznavamo produkt in destinacijo in na koncu mora Edmiston bukirati preko nas.	Oni delajo na volumnu, pri nas nisi le številka temveč se vam individualno posvetimo. Smo tudi veliko hitrejši in prodorni.					
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)	Zavarovanja na splošno	Z naše strani vedno aktivno poskušamo prodati njihov teden naprej, če pride do odpovedi. V večini primerov nam to tudi uspe, kar gostom omogoča, da svoj termin brez večjih izgub prestavijo – običajno za eno do dve leti vnaprej. To jim daje dodatno mero fleksibilnosti, kar številne pomiri, saj vedo, da imajo možnost spremembe tudi v primeru nepredvidenih okoliščin. Če želijo dodatno varnost, lahko razmislijo tudi o dodatnem potovalnem zavarovanju, ki krije višje sile ali druge osebne razloge za odpoved. Z veseljem jim svetujemo glede možnosti, ki so na voljo.							
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)	Ali bo ladja sploh tam?	Rezervacija je potrjena šele po vplačilu akontacije.	Sodelujemo le z zaupanja vrednimi partnerji in preverjenimi bazami.	Gostom posredujemo kontakt lokalne baze ali kapitana za potrditev.	Pred vkrcanjem potrdimo točno lokacijo in ime ladje.	Smo agencija z dolgoletno tradicijo	Pokažemo reviewve prejšnjih gostov		
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)	Ali boste prisluhnili mojim željam?	Prilagodimo itinerarij, hrano in aktivnosti glede na želje gostov.	Pred potovanjem pripravimo seznam želja, ki ga dobi kapitan.	Redno komuniciramo z gosti za potrditev in uskladitev podrobnosti.	Zagotavljamo najboljši customer support – Dobite celo osebnega Concierga ki skrbi za vse podrobnosti pred vašim čarterjem				
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)	Ali lahko pripeljemo psa?	Preverimo jahte, ki sprejemajo hišne ljubljenčke.	Obvestimo posadko o prisotnosti psa vnaprej.	Priporočamo, da gost navede velikost psa za optimalno izbiro jahte.	Po potrebi uredimo dodatno čiščenje.				
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)	Bo dolgočasno / se bomo sprli?	Program prilagodimo glede na interese skupine (šport, izleti, počitek).	Po želji vključimo dodatne aktivnosti, vodiče ali športno opremo.	Skupaj oblikujemo uravnotežen dnevni režim za zadovoljstvo vseh.	Prisluhnemo kakšna skupina ste in na podlagi tega povemo kaj vse se lahko uredi				
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)	Bo kdo kontakt na destinaciji?	Na voljo je moj kontakt, vaš osebni Concierge, kapitan in Chief Stew. V nobenem	primeru ne boste dobili občutka da ste sami.	Naša služba za podporo je vedno dosegljiva	Sodelujemo z zanesljivimi lokalnimi operaterji				
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)	Dodatni vodiči, šport, izleti, potapljanja?	Organiziramo dodatne vodiče in aktivnosti na zahtevo.	Predložimo seznam ponudnikov in cenik za dodatne storitve.	Zagotovimo opremo za šport in potapljanje po dogovoru.					
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)	Polni penzion? Polpenzion?	Na voljo so različne možnosti prehrane, vključno s polnim in polpenzionom.	Pomagamo pri načrtovanju in naročilu živil glede na prehranske potrebe.	Gostje izpolnijo prehranske preference za natančno pripravo.	Meni popolnoma prilagodimo vsaki skupini glede na preference				
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)	Ali posadka govori angleško?	Vse posadke govorijo angleščino.	Po potrebi zagotovimo posadko z drugimi jezikovnimi znanji (italijansko, nemško itd.).	Posadka je profesionalna in usposobljena za mednarodne goste.					
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)	Kaj če ni tako kot na slikah?	Pošljemo aktualne in preverjene fotografije natančno določene jahte.	V pogodbi so jasno navedeni model, letnik in oprema jahte.	V primeru tehničnih težav zagotovimo enakovredno ali boljšo zamenjavo.	Sodelujemo z lastniki, ki so preverjeni, sodelujemo z njimi dlje časa in vse ladje osebno preverjamo.				
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)	Košer?	Na voljo so jahte s preizkušenimi kapitanom in posadko za košer prehrano.	Vsako leto organiziramo številne košer skupine in poznamo najboljše možnosti.	Uporabljamo certificirane sestavine in zagotavljamo skladnost s košer standardi.	Po potrebi sodelujemo z vašim rabinom ali zunanjimi kuharji.				
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)	Pralnica?	Na jahti so na voljo storitve pranja perila za goste.	Posadka obvesti o stroških in omejitvah glede količine perila.	Jahta skrbi tudi za lastne brisače in posteljnino.	V nekaterih marinah je možna dodatna pralnica				
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)	Ne zberemo dovolj ljudi.	Imamo jahte različnih velikosti za manjše in večje skupine.	Izberemo manjšo jahto, če je skupina manjša, za bolj prilagojeno izkušnjo.	Zasebna plovba v manjšem krogu je bolj intimna in fleksibilna.	Vedno najdemo rešitev, ki ustreza vašim potrebam				
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)	Party grupe.	Za družine in mirne goste predlagamo destinacije in jahte brez glasnih žurov.	Za skupine, ki želijo zabavo, poiščemo jahte in lokacije primerne za party.	Prilagodimo program in destinacije glede na energijo skupine.	Uredimo tematkse večere	Uredimo živo glasbo			
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)	Skrb za majhne otroke / ženo.	Organiziramo zaščitne mreže in otrokom prijazne programe na jahti.	Po potrebi uredimo varuško ali dodatno pomoč.	Kapitan in posadka imajo izkušnje z otroki in zagotavljajo varno okolje.	Letno imamo veliko število družin tako, da tako znamo priporočit pravo ladjo				
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)	Skriti stroški / APA / paketi?	Vse stroške jasno predstavimo pred rezervacijo.	APA (advance provisioning allowance) pojasnimo in vključimo v ponudbo.	Možnost izbire paketa “vse vključeno” za brezskrben odmor.	Na voljo smo za pojasnila vseh postavk in dodatkov.				
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)	Cancelation policy	Popolnoma ste zaščiteni v primeru, da lastnik odpove rezervacijo (kar se sicer skoraj nikoli ne zgodi) v tem primeru poiščemo nadomestno plovilo ali pa vam vrnemo vplačano aro skupaj z dodatnimi penalizacijami. V primeru odpovedi s strani lastnika ste torej v celoti zaščiteni.	Če pa rezervacijo odpoveste vi, se depozit izgubi. Kljub temu običajno termin znova ponudimo na trgu in če uspemo termin prodati naprej, lahko v določenih primerih ponudimo prestavitev rezervacije, tako da ne izgubite depozita.	Politika odpovedi je opredeljena tudi v MYBA pogodbi, prosim, preverite člene 9 in 11. Gre za standardno industrijsko prakso, in pogodba vas v vseh točkah v celoti ščiti.	Naj dodam, da nismo povezani z nobeno zavarovalnico, vendar vam vseeno priporočam, da sklenete dodatno potovalno zavarovanje, da boste v celoti kriti, če bi se vam v tem času kaj zgodilo. Na primer, priporočamo IMG GLOBAL: https://www.imglobal.com/ ali HdB: http://www.hdbonline.it/en/.				
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)	Is this yacht for me?	Glede na oceno profila, ocenim njegove/njene znacilnosti	Z vprasanji izvem cimvec (kakšna je skupina, družina, pirjatelji, mlajši, starejši itd)	Na podlagi tega mu povem da je ta jahta direktno zanj in njegovo skupino	Vključim posebnosti jahte, ki so v povezavi z željami	Podam ocene prejšnjih podobnih skupin (recimo družinskih, z malimi otroci)	V primeru nestrinjanja, ponudim alternative		
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)	Marketing/ ponudba kontradiktornost	Nekatere strani nimajo posodobljenih podatkov ( v primeru kontradiktornosti z drugimi stranmi)	Mi sodelujemo direktno z ladjarji, in so naše informacije popolnoma zanesljive	Celoten team skrbi za posodobitve informacij	Vedno smo na voljo brokerji, ki lahko pojasnimo objave in stranke dobijo informacije iz prve roke				
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)	Owner na ladji?	Predstavimo kot prednost, ne slabost	Osebno poznanstvo	Zagotavlja večjo varnost	Lastniki/Kapitani so izjemno izkušeni, poznajo svojo ladjo bolj kot kdor koli drug	V primeru kakšnih spremeb, je njegova odličitev zanesljiva in hitra	Spoznajo lahko zgodovino in zgodbo ladje, ker so ponavadi družinski posel	Avtoriteta in red glede posadke 	
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)	Zakaj ni chief stew	Ker je ostala posadka dovolj izkušena in ima stvari pod kontrolo	Ker izbirajo samo resne, izkušene in vrhunske osebe in je trenutno niso našli	Posadka odlično komunicira, jih je dovolj za brezhibno postrežbo	Prevzame odgovorst lastnik/kapitan	Poudarek na delu, ne na nazivih posadke	Odzivi strank, ki so bile zelo zadovoljne s posadko	Posadka se konstantno izobražuje, tudi mi skrbimo za to	
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)	Vreme in varnost na morju?	Upoštevanje in spremljanje napovedi v prihodnosti iz kapitanove strani	Zelo izkušena posadka v vseh razmerah	Jahte so opremljene z rešilnimi jopiči	V času neviht so jahte v zaščitenih marinah in ne plujejo				
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)	Vi ste v Sloveniji	Več kot 20 let na trgu	Bližjina Hrvaške	Med sezono smo konstantno prisotni na Hrvaškem kjer imamo tudi del ekipe	Tudi v Turčiji imamo team	Zelo hitro rastoči, prodorni zaposleni z izjemnimi vezmi na mnogih lokacijah			
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)	Nejasen marketing	Vedno dostopni brokerji, ki strankam lahko pojasnimo in razložimo vse	Kontakti napisani na vseh straneh za takojšen stik z brokerjem	Trudimo se biti čim bolj preprosti in iskreni, prikazati realnost	Smo zelo iskreni, direktni, ne skrivamo dodatnih stroškov na ladji				
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)	Navajeni na svojega brokerja da bukira	Razlaga da starega brokerja na žalost ni več	Čast da smo lahko njihov nov kontakt	Učenje od njihovega starega brokerja	Priprava o vseh informacijah, ki jih je stranka delila s starim brokerjem	Mentorstvo starega brokerja			
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)	Koliko hrana za take cene bi dobil drugje	Ker so sestavine precizno izbrane, samo sveže, lokalne	V Turčiji imamo team, ki skrbi za nabavo le najboljših sestavin	Izbor in nakup narejen personalizirano glede na vašo preference listo	Upoštevanje alergij, intoleranc	Navedemo izkušnje chefov	Odzivi zadovoljnih strank glede kulinarične izkušnje		
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)									
Stage 2 KO ŽE POZNA GOOLETS (že prejme ponudbo)	Najem dodatne posadke	Je mogoče	Ne priporočamo, saj je posadka ves čas ena in ista	Pozna teren, navajena je jahte, ima izkušnje	Imamo dovolj članov posadke, razporejeno delo in vrjamemo, da bodo poskrbeli za vas in vaše želje				
Stage 3 TIK PRED BOOKINGOM	A poznaš ladjo, si bil gor  (odvisno od ladje ki jo ponujaš)	Yes. We know this yacht very well, and in many cases, we also have a direct relationship with the owner or captain.	Our team regularly inspects yachts in person at international yacht shows and directly in each destination. We visit the yachts ourselves, attend familiarization trips, and even create content on board, so we don’t just know them from brochures, but from real experience.	I can share first-hand photos, videos, or guest feedback, and if you'd like, I can even connect you directly with the captain or the owner for a more personal insight.	When we recommend a yacht, it’s because we truly know what you’re getting and we stand behind the experience.				
Stage 3 TIK PRED BOOKINGOM									
Stage 3 TIK PRED BOOKINGOM	AMEX Credit Card payments	Unfortunately, you can no longer pay with American Express in Europe. Due to EU regulatory changes (specifically the EU Payments Package), AMEX has exited the EU licensing market and all existing partnerships have been terminated. You can check more: https://www.goolets.net/blog/american-express-eu	But don’t worry.You still have smooth and secure options. We accept wire transfers (commonly used for charters) and also cryptocurrency, if that’s more convenient. From credit cards, you can use VISA or Master Card.	If you'd like, I can help you with any additional details about the transfer or crypto payment process. Just let me know your preference.					
Stage 3 TIK PRED BOOKINGOM									
Stage 3 TIK PRED BOOKINGOM	Extra payments problems, VAT, hrana, cash	Everything is clearly outlined in the contract. No hidden costs. VAT is always included or clearly stated if it applies separately. Food and drinks are covered through the APA (Advance Provisioning Allowance) system or fixed packages, depending on the yacht. You can pay packages either in cash on board (preferred options for most of the clients) or over wire transfer.	In some cases, owners request that part of the APA be paid in cash on arrival—this is normal industry practice and we’ll inform you in advance so there are no surprises.	If you'd like, I can send you a sample cost breakdown, so you have a transparent overview of what to expect.					
Stage 3 TIK PRED BOOKINGOM									
Stage 3 TIK PRED BOOKINGOM	Referrals starih strank	Yes, many. We’ve worked with hundreds of satisfied clients, and I’d be happy to share authentic feedback, both public and private.	Some clients prefer to stay anonymous, but I have plenty of handwritten notes, personal messages, and emails with honest impressions.	If you’d like, I can even connect you with someone who has chartered the same yacht or a similar experience.	We’ve built long-term relationships with our guests and many return year after year, which says more than any review ever could.				
Stage 3 TIK PRED BOOKINGOM									
Stage 3 TIK PRED BOOKINGOM	Ste res vi v kontaktu z ownerjem	Yes. We work directly with yacht owners, central agents, or captains, depending on the case. There’s no chain of middlemen. You’re working with a team that communicates firsthand with the people managing or owning the yacht.	In fact, in many cases, we’ve personally met the owners, visited the yachts ourselves, and have long-standing relationships with the crew.	If needed, I can put you in touch with the captain or owner for specific questions or extra reassurance.	Not to forget, owners signature is required before the contract is completed and we are obligated by that.				
Stage 3 TIK PRED BOOKINGOM									
Stage 3 TIK PRED BOOKINGOM	Ali je on res final decisier	Lahko sam oceniš na podlagi naslednjih znakov: - Ali uporablja izraze kot »moram še preveriti s partnerjem / ženo / ekipo«? - Ali že postavlja konkretna vprašanja glede cene, pogodbe, roka plačila? - Ali proaktivno predlaga naslednje korake (npr. “pošljite mi pogodbo”)? - Je oseba bila tista, ki je začela povpraševanje ali je posrednik? Sicer pa vprašaš, kako se ponudba zdi preostali grupi. Ali plačajo vsak zase ali plača vse on ipd.							
Stage 3 TIK PRED BOOKINGOM									
Stage 3 TIK PRED BOOKINGOM	Garancija, force majeure, ni scam etc.	We are the biggest and most successful company in the area and have most of the best Croatian yachts in our Central Agency. We are present at MYBA events, yacht shows, and we are also members. Its an organization that's a golden pillar in the yacht industry. We are also members of CYBA (Charter Yacht Brokers Association, International), TYBA (Turkish association), and CROYA (Croatian Yachting Association), so we are basically present everywhere in the industry. Each year we visit various yacht shows all over the world, such as MEDYS (Mediterranean yacht show), TYBA (Turkish), EMMYS (Poros Yacht Show), MYBA (San Remo Yacht Show) and we are also travelling again to  Cannes and Monaco yacht show in September, later on to Fort Lauderdale and at the end of the year to Antigua.	Some credibility info: CNN: https://edition.cnn.com/travel/article/superyacht-savings-croatia/index.html The Mirror: https://www.mirror.co.uk/travel/news/luxury-superyacht-opens-affordable- holidays-27723942 Daily Star: https://www.dailystar.co.uk/travel/travel-news/luxury-superyacht-opens- affordable-holidays-27727709 Forbes: https://www.forbes.com/advisor/travel-insurance/yacht-charters/ Daily Mail: https://www.dailymail.co.uk/travel/travel_news/article- 11047017/Superyacht-chief-stewardess-lifts-lid-real-Deck-world.html https://wickedgoodtraveltips.com/2024/04/19/croatia-yacht-charters-your-ultimate- guide-to-sailing-in-the-mediterranean/ https://thejetset.com/the-show/segments/destinations/traveling-croatia-with-goolets/ https://familytravelck.com/blog/whats-superyachting-luxury-cruising-with- goolets/#google_vignette https://www.justluxe.com/lifestyle/luxury-yachts/feature-1976728.php https://www.jetsetmag.com/travel/yachts/a-private-cruise-through-the-croatian- adriatics-shades-of-blue/ https://www.forbes.com/sites/rachelingram/2023/08/06/the-slovenian-company- offering-a-superyacht-experience-for-less/ https://www.mby.com/video/cruising-croatia-on-a-160ft-stunner-e100000p-w- superyacht-charter-127780 https://forbes.es/nautik/322325/ohana-el-charter-economico-de-lujo-al-que-no-le- falta-detalle-y-que-tiene-capacidad-para-30-invitados/ and hundreds more...... TripAdvisor: https://www.tripadvisor.com/Attraction_Review-g295370-d26542069- Reviews-Goolets_Yachts-Split_Split_Dalmatia_County_Dalmatia.html FEEFO: https://www.feefo.com/en- GB/reviews/goolets?displayFeedbackType=SERVICE&amp;timeFrame=YEAR Google reviews: https://www.google.com/search?sca_esv=ac60e713747e51d1&amp;tbm=lcl&amp;q=G oolets+Ltd.+Reviews&amp;rflfq=1&amp;num=20&amp;stick=H4sIAAAAAAAAAONgkxIxNDQ3sLQw NzU1NDYwMzMyNzM0MNzAyPiKUcQ9Pz8ntaRYwackRU8hKLUsM7W8eBErVmEA EZSOFUkAAAA&amp;rldimm=11709875513066276101&amp;hl=en- SI&amp;sa=X&amp;ved=2ahUKEwic6KvHrYiOAxUTywIHHdCEDCUQ9fQKegQIXRAF&amp;biw=25 60&amp;bih=1271&amp;dpr=1#lkt=LocalPoiReviews	Potem pa še pojasnilo, kaj pomenijo vsi členi in morda kaksni youtube materiali etc.					
Stage 3 TIK PRED BOOKINGOM									
